stage,model,candidate_recall,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10,coverage_at_10,seconds
baseline,Popularity,0.3227521039421231,0.0029529012254540087,0.008858703676362026,0.0022363539638011807,0.0037143469958732154,0.011528261774826309,0.27
baseline,Hybrid Recall,0.3227521039421231,0.15871844086815295,0.22663516905359515,0.10134831579169393,0.1307077781112892,0.4003769697766673,0.27
baseline,LR,0.3227521039421231,0.16875830503469658,0.2394802893843201,0.10445138141875185,0.13608107865669547,0.4120367326363776,3.41
baseline,LightGBM Ranker,0.3227521039421231,0.1752546877306954,0.2461243171415916,0.11371804246084478,0.14479149500769598,0.3886076226795538,7.55
baseline,FM,0.3227521039421231,0.06274915104089768,0.11944485456961465,0.035118959735082576,0.05440594503823718,0.28483134985863634,72.45
baseline,MLP,0.3227521039421231,0.17643584822087702,0.24582902701904621,0.10899199435667765,0.14114005511618163,0.3847502575229579,77.77
baseline,DeepFM,0.3227521039421231,0.12106895024361435,0.19681086667650968,0.07138392637432944,0.10047143601620745,0.3704604729655686,62.3
