stage,model,candidate_recall,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10,coverage_at_10,seconds
baseline,Popularity,0.3227521039421231,0.002952901225454,0.008858703676362,0.0022363539638011,0.0037143469958732,0.0115282617748263,0.27
baseline,Hybrid Recall,0.3227521039421231,0.1587184408681529,0.2266351690535951,0.1013483157916939,0.1307077781112892,0.4003769697766673,0.27
baseline,LR,0.3227521039421231,0.1687583050346965,0.2394802893843201,0.1044513814187518,0.1360810786566954,0.4120367326363776,3.41
baseline,LightGBM Ranker,0.3227521039421231,0.1752546877306954,0.2461243171415916,0.1137180424608447,0.1447914950076959,0.3886076226795538,7.55
baseline,FM,0.3227521039421231,0.0627491510408976,0.1194448545696146,0.0351189597350825,0.0544059450382371,0.2848313498586363,72.45
baseline,MLP,0.3227521039421231,0.176435848220877,0.2458290270190462,0.1089919943566776,0.1411400551161816,0.3847502575229579,77.77
baseline,DeepFM,0.3227521039421231,0.1210689502436143,0.1968108666765096,0.0713839263743294,0.1004714360162074,0.3704604729655686,62.3
final,LightGBM Ranker,0.32416998671978753,0.18087649402390438,0.24741035856573707,0.11595074727544848,0.14685557270601354,0.39158555989502614,17.19
